pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HD 142022 A,1928.,3.03,0.53,5.1,35.87,0.99,2014-05-14,27.88
HD 39091,2151.,3.38,0.6405,10.27,18.21,1.1,2014-07-23,54.92
HD 137388 A,330.,0.89,0.36,0.223,38.45,0.86,2014-05-14,26.01
GJ 3021,133.71,0.49,0.511,3.37,17.62,0.9,2014-05-14,56.76
HD 63454,2.818049,0.0368,0.,0.398,35.8,0.84,2015-03-26,27.93
HD 212301,2.245715,0.036,0.,0.45,52.72,1.27,2014-05-14,18.97
CHXR 73,,210.,,12.569,,0.35,2014-05-14,
CT Cha,,440.,,17.,165.,,2014-05-14,
HD 196067,3638.,5.02,0.66,6.9,43.57,1.29,2014-05-14,22.95
HD 38283,363.2,1.02,0.41,0.34,37.78,1.08,2015-09-10,26.47
HD 131664,1951.,3.17,0.638,18.15,57.21,1.1,2014-05-14,17.48
HD 108341,1129.,2.,0.85,3.5,49.4,0.84,2015-01-08,20.23
HD 100546,,53.,,,97.,2.4,2015-05-14,
HD 216437,1256.,2.32,0.29,1.82,26.52,1.15,2015-04-24,37.71
HD 175167,1290.,2.4,0.54,7.8,67.02,,2014-05-14,14.92
WASP-126,3.2888,0.0449,0.18,0.28,234.,1.12,2016-05-05,
HD 129445,1840.,2.9,0.7,1.6,67.61,,2014-05-14,14.79
HD 95086,,55.7,,5.,91.57,1.6,2014-05-14,10.92
HD 111232,1143.,1.97,0.2,6.8,28.88,0.78,2014-08-21,34.63
HD 11977,711.,1.93,0.4,6.54,66.49,1.91,2014-05-14,15.04
HD 76700,3.971,0.049,0.,0.197,59.7,1.,2015-04-24,16.75
POTS-1,3.1606296,0.03734,,2.31,1200.,0.69,2014-05-14,
HD 181433,962.,1.76,0.28,0.64,26.15,0.78,2014-07-23,38.24
HD 181433,9.3743,0.08,0.396,0.024,26.15,0.78,2014-07-23,38.24
HD 181433,2172.,3.,0.48,0.54,26.15,0.78,2014-07-23,38.24
WD 0806-661,,2500.,,7.5,19.2,0.62,2014-05-14,
HD 175607,29.01,,0.11,0.02825,45.27,0.71,2015-11-19,22.09
HD 7199,615.,1.36,0.19,0.29,35.88,0.89,2014-05-14,27.87
HD 4308,15.56,0.115,0.,0.0442,21.85,0.83,2014-12-03,45.76
HIP 63242,124.6,0.565,0.23,9.18,149.25,1.54,2014-05-14,6.7
WASP-119,2.49979,0.0363,0.058,1.23,333.,1.02,2016-05-05,
HD 25171,1845.,3.02,0.08,0.95,56.05,1.09,2014-05-14,17.84
HIP 107773,144.3,0.72,0.09,1.98,,2.42,2015-06-04,9.65
HD 190984,4885.,5.5,0.57,3.1,189.39,0.91,2014-08-21,5.28
WASP-100,2.849375,0.0457,0.,2.03,,1.57,2014-05-14,
HD 108147,10.8985,0.102,0.53,0.261,38.56,1.27,2014-05-14,25.93
WASP-62,4.411953,0.0567,0.21,0.57,160.,1.25,2014-05-14,
HD 65216,572.4,1.3,0.,1.26,35.59,0.92,2014-05-14,28.1
HD 65216,152.6,0.54,0.02,0.17,35.59,0.92,2014-05-14,28.1
HD 219077,5501.,6.22,0.77,10.39,29.2,1.05,2014-05-14,34.25
OGLE-TR-211,3.67724,0.051,0.,1.03,,1.33,2014-05-14,
OGLE-TR-132,1.689868,0.03035,,1.18,2500.,1.3,2014-10-29,
NGC 4349 127,677.8,2.38,0.19,19.8,2200.,3.9,2015-05-14,
HD 147018,1008.,1.922,0.133,6.56,42.96,0.93,2014-05-14,23.28
HD 147018,44.236,0.2388,0.4686,2.12,42.96,0.93,2014-05-14,23.28
OGLE-TR-113,1.4324752,0.02289,,1.26,600.,0.78,2014-05-14,
OGLE-TR-111,4.0144463,0.0473,,,,0.85,2016-02-25,
OGLE2-TR-L9,2.4855335,0.0308,,4.5,,1.52,2014-05-14,
OGLE-TR-182,3.9791,0.051,0.,1.01,,1.14,2014-05-14,
HD 196050,1378.,2.54,0.228,2.9,46.93,1.15,2014-08-21,21.31
HD 10180,122.744,0.4929,0.119,0.0722,39.02,1.06,2015-06-25,
HD 10180,5.75969,0.06412,0.073,0.0416,39.02,1.06,2015-06-25,
HD 10180,604.67,1.427,0.263,0.0732,39.02,1.06,2015-06-25,
HD 10180,49.748,0.2699,0.051,0.0805,39.02,1.06,2015-06-25,
HD 10180,2205.,3.381,0.095,0.2066,39.02,1.06,2015-06-25,
HD 10180,16.357,0.12859,0.131,0.0378,39.02,1.06,2015-06-25,
HD 142415,386.3,1.05,0.5,1.62,34.57,1.03,2014-05-14,28.93
HD 23127,1214.,2.4,0.44,1.5,89.13,1.13,2014-11-19,11.22
HD 40307,51.76,0.247,0.02,0.0164,12.83,0.77,2014-05-14,77.95
HD 40307,4.3123,0.0468,0.2,0.0126,12.83,0.77,2014-05-14,77.95
HD 40307,9.6184,0.0799,0.06,0.0208,12.83,0.77,2014-05-14,77.95
HD 40307,197.8,0.6,0.29,0.0223,12.83,0.77,2014-05-14,77.95
HD 40307,20.432,0.1321,0.07,0.0299,12.83,0.77,2014-05-14,77.95
HATS-30,3.1743516,0.04354,0.096,0.706,339.,1.09,2016-06-09,
HD 27894,17.9904,0.125,0.0486,0.645,42.37,0.8,2015-04-16,23.6
HD 27442,428.1,1.271,0.06,1.56,18.24,1.23,2014-07-23,54.84
HD 102117,20.8133,0.1532,0.121,0.172,42.,1.11,2014-05-14,23.81
HIP 65891,1084.5,2.81,0.13,6.,,2.5,2015-06-04,7.35
HD 221287,456.1,1.25,0.08,3.09,52.88,1.25,2014-05-14,18.91
WASP-73,4.08722,0.05512,0.,1.88,,1.34,2014-05-14,
AB Pic,,260.,,13.5,45.52,,2014-05-14,21.97
HD 30177,2770.,3.95,0.193,10.45,54.71,1.01,2014-07-23,18.28
HD 101930,70.46,0.302,0.11,0.3,30.5,0.74,2014-05-14,32.79
HD 154857,3452.,5.36,0.06,2.58,68.54,1.72,2014-05-14,14.59
HD 154857,408.6,1.291,0.46,2.24,68.54,1.72,2014-05-14,14.59
HD 2039,1120.,2.23,0.715,6.11,89.85,1.17,2014-08-21,11.13
HD 215497,3.93404,0.047,0.16,0.02,43.53,0.87,2014-11-19,22.97
HD 215497,567.94,1.282,0.49,0.33,43.53,0.87,2014-11-19,22.97
HD 154672,163.9,0.6,0.61,5.02,65.79,,2014-05-14,15.2
HD 121504,63.33,0.33,0.03,1.22,44.37,1.18,2014-05-14,22.54
HD 106906,,650.,,11.,91.83,1.5,2014-05-14,10.89
WASP-46,1.43036763,0.02335,,1.91,,0.83,2015-12-03,
WASP-97,2.07276,0.03303,0.,1.32,,1.12,2014-05-14,
HATS-29,4.6058749,0.05475,0.158,0.653,351.,1.03,2016-06-09,
HIP 8541,1560.2,2.8,0.16,5.5,168.63,1.17,2016-03-17,5.93
HD 63765,358.,0.94,0.24,0.64,32.62,,2014-05-14,30.66
HD 10647,989.2,2.015,0.15,0.94,17.35,1.11,2014-05-14,57.63
GJ 163,25.6,0.13,0.08,0.024,14.97,0.4,2014-05-14,66.82
GJ 163,603.,1.,0.41,0.079,14.97,0.4,2014-05-14,66.82
GJ 163,8.631,0.061,0.11,0.035,14.97,0.4,2014-05-14,66.82
HD 23079,730.6,1.596,0.102,2.45,34.6,1.01,2014-07-23,28.9
HD 113538,663.2,1.24,0.14,0.36,15.9,0.58,2015-01-08,63.03
HD 113538,1818.,2.44,0.2,0.93,15.9,0.58,2015-01-08,63.03
KELT-15,3.329441,0.04613,0.,0.91,291.,1.18,2016-03-17,
HD 160691,643.25,1.497,0.128,1.08,15.28,1.08,2014-08-21,65.46
HD 160691,310.55,0.921,0.0666,0.5219,15.28,1.08,2014-08-21,65.46
HD 160691,9.6386,0.09094,0.172,0.03321,15.28,1.08,2014-08-21,65.46
